'dnn_age', 0.6489744248507691]
['dnn_weight', 0.6285230281371923]
['dnn_height', 0.4570344937893357]
['dnn_gender', 0.3662332109484709]
['dnn_smoke', 0.2914757147211656]
['dnn_arthritis', 0.27964015551632376]
['dnn_alcohol', 0.2775544897389381]
['dnn_heartdisease', 0.2716496729579796]
['dnn_diabetes', 0.2716496729579796]
['dnn_respdisease', 0.21920791238601617]
['dnn_oralster', 0.19352898419864756]
