,Unnamed: 0,PatientAge,PatientGender,bmi,clavicle,shoulder,elbow,femur,wrist,tibfib,parentbreak,alcohol,arthritis,cancer,diabetes,heartdisease,smoke,respdisease,age_gender,age_bmi,gender_bmi
0,0,-0.2229188764801074,-0.2714381754171963,-0.8200495914132621,-0.0022075705728255,-0.0217987976283388,-0.0106802036605994,-9.84855455715694e-05,-0.0449483809454417,-0.0066037896252501,-0.001854286683234,-0.0134746363086267,-0.0018423962789196,-0.0001708601952171,-0.0002446659373612,-0.0032099357341833,-0.0084207151230693,-6.389444610543915e-05,-0.2834198104029656,-0.6547411741175756,-0.0465208211460115
1,1,-0.171598159362898,-0.3488016250718934,-0.8543218582883129,-0.0007158574575144,-0.0154807259111043,-0.0118006076843214,-0.0002088918425924,-0.0630735843550913,-0.0053460241259862,-0.0003178180196912,-0.011800221488467,0.0033372984064504,-0.0032103119235328,-0.0001468834941615,-0.0054801454030183,-0.0022783476352509,-0.001542479049973,-0.2722238199273333,-0.5733946789786163,-0.027344818929217
2,2,-0.2303865273160227,-0.3008805820282868,-0.8083747585400184,-0.0031689215421137,-0.0196085186700001,-0.0085142613186919,-0.000525734457054,-0.0649233914062049,-0.0072921714608431,0.0003857012761134,-0.0142715956469886,-0.0069020825028991,-0.0026371802592574,-0.000617899405125,-0.0107286411214413,0.0021389845894638,-0.0016016556133789,-0.2141476216606676,-0.7453238583083267,-0.0227886812143595
3,3,-0.1897738442576657,-0.2898942070239617,-0.7675905236562927,-0.0070414097382666,-0.0197798196761789,-0.0005568337938289,0.0001901773330622,-0.0419621344055411,-0.0040585617545944,-0.0008571895326658,-0.0100992795149608,-0.0069686746218147,-0.0034377395086245,-0.0006771195204474,-0.0113829523319525,-0.0050857390411086,-0.0002044192258962,-0.2995885526203102,-0.6345278565907139,-0.0381367863313637
4,4,-0.1652733500375612,-0.2841124456654039,-0.7226842239411387,-0.0017953797297139,-0.0248112443585413,-0.0164823351923562,8.006827265982785e-05,-0.0322495075566396,-0.003460170864974,-0.0008929698434788,-0.0121796450698706,-0.0040089829710759,-0.003096367426567,0.0001850904695944,-0.0072366985489349,-0.0128866806437002,0.000783374786287,-0.3232153112551749,-0.6434198163849881,-0.0318825099980784
5,5,-0.169428995802424,-0.3316607814734719,-0.8433714484206535,-0.0054470585710315,-0.0142594947853146,-0.014380539334012,0.0001757930226198,-0.0464608474304777,-0.0006877030792158,0.0023397425016602,-0.0076421559905957,-0.0029200528599897,0.0004319389739152,-6.600206798235142e-05,-0.0051542500501339,-0.0048256556045466,0.0007650884259808,-0.2844380066745274,-0.5732352073340409,-0.0456254534426675
6,6,-0.194076808018463,-0.2953989205741664,-0.7543678005749571,-0.0045779445886652,-0.0274438225920069,-0.0119270570322677,-0.0003577875374202,-0.0343874368217975,-0.0041779034788631,-0.0019501087301421,-0.0213310548385684,-0.0031446129794105,-0.0014465112496458,-0.0001301121797349,-0.0026981324459179,-0.0030559884767858,-0.0016378865827306,-0.2956236634338417,-0.6903321988613283,-0.0320727897305808
7,7,-0.197857061147774,-0.2837806772936625,-0.8250285799725904,-0.0001642927529017,-0.0161052526614842,-0.0060416937348651,-4.714975804365196e-05,-0.0620340720533578,-0.0036911135073031,-1.2906433280002185e-05,-0.013194179218435,-0.0050187676284043,-0.0013436058185853,-0.0007909202346971,-0.0088600990416566,-0.0048762399891846,-0.0002719933889703,-0.2970413655481995,-0.630989819402017,-0.0494860773628363
8,8,-0.161465189496593,-0.2388679420002272,-0.817523957658992,0.0006311461943461,-0.0260017688765722,-0.014824351558732,-0.0001520475414357,-0.0435569903752842,-0.0066938607120085,-0.0027682263911935,-0.011455244551916,-0.0001206277741836,-0.0014712811912075,9.83216295991074e-06,-0.0093229877154491,-0.0049026869047885,-0.0016135155691812,-0.3458157936775591,-0.5793330588133273,-0.0589836596477549
9,9,-0.2113718381874038,-0.3522372455441612,-0.8573736921164056,-0.0032657138802795,-0.0181984938807905,-0.0103185482289133,-0.0004811205998299,-0.0513091045753139,-0.0065031394893457,-0.0020218908849399,-0.0114485864417195,-0.0063695899401651,0.0008395394078274,-0.0004325460182131,-0.0062776644898697,-0.0062721376462042,-0.0006944516724395,-0.225450799728753,-0.5954986151733775,-0.0307402859083067
